this_week	last_week	end_2013	country	flag_url	name	player_url	avg_points	total_points	event_played_divisor	points_lost	points_gained	events_played_actual
76	75	122	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Geoff Ogilvy	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5698	1.8639	95.06	51	-45.94	78.66	51
77	76	362	USA	http://www.owgr.com/styles/img/flags/USA.png	Erik Compton	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6556	1.8516	96.28	52	-22.21	93.36	56
78	77	69	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Tim Clark	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3849	1.7816	85.52	48	-55.86	56.87	48
79	78	81	USA	http://www.owgr.com/styles/img/flags/USA.png	Chris Stroud	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9604	1.7519	91.10	52	-48.95	50.32	55
80	80	275	USA	http://www.owgr.com/styles/img/flags/USA.png	George McNeill	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6419	1.7454	82.03	47	-26.09	76.04	47
81	79	134	KOR	http://www.owgr.com/styles/img/flags/KOR.png	K.J. Choi	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=1804	1.7340	90.17	52	-50.44	74.62	52
82	82	83	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Ryo Ishikawa	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12232	1.7284	89.87	52	-59.06	56.83	71
83	81	140	ESP	http://www.owgr.com/styles/img/flags/ESP.png	Rafael Cabrera Bello	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7457	1.7210	89.49	52	-53.51	75.53	58
84	91	111	IND	http://www.owgr.com/styles/img/flags/IND.png	Anirban Lahiri	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12669	1.6978	74.70	44	-35.46	47.78	44
85	83	30	USA	http://www.owgr.com/styles/img/flags/USA.png	Nick Watney	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7955	1.6881	87.78	52	-117.63	36.34	55
86	84	157	USA	http://www.owgr.com/styles/img/flags/USA.png	Ben Martin	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14007	1.6827	87.50	52	-32.85	64.89	53
87	85	110	USA	http://www.owgr.com/styles/img/flags/USA.png	Kevin Chappell	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13305	1.6684	86.75	52	-46.26	57.16	56
